objectId,fall_year,vid_id,ACL,bludger_count,time,updatedAt,author_id,stat_name,player_in_id,player_id,createdAt,team_id
TTB14IBALF,2017,2V2pN9kH3WU,null,1,252,Wed Sep 20 2017 16:56:20 GMT-0500 (Central Daylight Time),PnUcE7oTGf,OFFENSE,,,Wed Sep 20 2017 16:56:20 GMT-0500 (Central Daylight Time),ZONaVCJXMP
TTVQfUmlES,2016,2eMd_rpUHiM,null,,746,Tue Nov 08 2016 14:47:45 GMT-0600 (Central Standard Time),nwlMkrbCJ9,TAKEAWAY,,0VOQW5HECu,Tue Nov 08 2016 14:47:45 GMT-0600 (Central Standard Time),72aC65hDVy
TTbdVzukv5,2016,A85CM8PTj4w,null,,1090,Thu Jun 08 2017 20:12:43 GMT-0500 (Central Daylight Time),OMXrnEWOS7,GOAL,,gtVOlncQQC,Thu Jun 08 2017 20:12:43 GMT-0500 (Central Daylight Time),pFe1cFCeHX
TU71yqdo4U,2015,5j6-RD2EXXM,null,,127,Mon Oct 17 2016 11:07:49 GMT-0500 (Central Daylight Time),nwlMkrbCJ9,LOSE_CONTROL,,,Mon Oct 17 2016 11:07:49 GMT-0500 (Central Daylight Time),null
TU9uaLBeXp,2015,ApsmJUJ17LU,null,,1570,Sun Oct 09 2016 10:10:05 GMT-0500 (Central Daylight Time),nwlMkrbCJ9,LOSE_CONTROL,,,Sun Oct 09 2016 10:10:05 GMT-0500 (Central Daylight Time),sDwvaTBIyS
TUHml0D6Ro,2012,bOuZBrwar08,null,,520,Mon Feb 18 2019 21:00:18 GMT-0600 (Central Standard Time),vvVTwV67s3,AWAY_GOAL,,,Mon Feb 18 2019 21:00:18 GMT-0600 (Central Standard Time),Y0cHofeNs5
TUHxSQf1nc,2017,MHeTu5wUkFA,null,1,571,Thu Nov 23 2017 01:12:51 GMT-0600 (Central Standard Time),nwlMkrbCJ9,OFFENSE,,,Thu Nov 23 2017 01:12:51 GMT-0600 (Central Standard Time),VVf2rVa4A4
TUQBYaO1cr,2017,2V2pN9kH3WU,null,2,267,Wed Sep 20 2017 16:56:47 GMT-0500 (Central Daylight Time),PnUcE7oTGf,OFFENSE,,,Wed Sep 20 2017 16:56:47 GMT-0500 (Central Daylight Time),4tA6jxuCvC
TUTsbZDmoq,2015,5j6-RD2EXXM,null,,996,Mon Oct 17 2016 11:54:56 GMT-0500 (Central Daylight Time),nwlMkrbCJ9,AWAY_GOAL,,,Mon Oct 17 2016 11:54:56 GMT-0500 (Central Daylight Time),null
TUab9nflrp,2012,pOLSWqhTQJo,null,,939,Mon Feb 18 2019 22:19:36 GMT-0600 (Central Standard Time),vvVTwV67s3,PAUSE_CLOCK,,,Mon Feb 18 2019 22:19:36 GMT-0600 (Central Standard Time),hiXRckO3HR
TUgxxZfODc,2016,nOf-iapH-FE,null,1,15,Mon Oct 17 2016 15:07:55 GMT-0500 (Central Daylight Time),nwlMkrbCJ9,DEFENSE,,,Mon Oct 17 2016 15:07:55 GMT-0500 (Central Daylight Time),APNEiQQoaa
TUjM8GKpOE,2015,zUiyoPOxYaE,null,,1908,Thu Jun 23 2016 01:41:09 GMT-0500 (Central Daylight Time),X3X3bWXs8E,SNITCH_CATCH,,,Thu Jun 23 2016 01:41:09 GMT-0500 (Central Daylight Time),1Tq5ZLgKzB
TUltZ08TU9,2015,5LNXUARqeOs,null,,548,Fri Mar 04 2016 18:04:37 GMT-0600 (Central Standard Time),nwlMkrbCJ9,LOSE_CONTROL,,,Fri Mar 04 2016 18:04:37 GMT-0600 (Central Standard Time),72aC65hDVy
