objectId,fall_year,vid_id,ACL,updatedAt,createdAt,description,team_id,opponent_id
sqZXjBlwkN,2016,GMmkXyE-GdE,null,Wed Oct 12 2016 12:56:40 GMT-0500 (Central Daylight Time),Wed Oct 12 2016 12:56:40 GMT-0500 (Central Daylight Time),Ball Brothers 3 Mizzou,72aC65hDVy,ejsL26LzRP
utOkYcfVWF,2015,rxP4EyD8wJA,null,Mon Mar 21 2016 14:51:41 GMT-0500 (Central Daylight Time),Mon Mar 21 2016 14:51:41 GMT-0500 (Central Daylight Time),"""World Cup"" Ball State Pool Play",72aC65hDVy,
vvCZMPGGCd,2017,CWMhiOf1J8c,null,Sun Nov 05 2017 17:12:38 GMT-0600 (Central Standard Time),Sun Nov 05 2017 09:51:39 GMT-0600 (Central Standard Time),TOTS V Ball State,72aC65hDVy,eexnypd9Ax
wUsETyH3YS,2018,IZawuB7CDbk,null,Thu Aug 06 2020 09:06:14 GMT-0500 (Central Daylight Time),Thu Aug 06 2020 09:06:14 GMT-0500 (Central Daylight Time),QPL 2019 Broadside Vs Roses,1d2WW8vOCr,KduR7D9hUY
wd5SQslmgS,2015,U3V1B3Fy02I,null,Wed Nov 11 2015 13:26:08 GMT-0600 (Central Standard Time),Thu Oct 15 2015 09:57:28 GMT-0500 (Central Daylight Time),Ball Brothers Michigan State,72aC65hDVy,
wt9Qqaog3U,2016,LmnbDFP0eOg,null,Wed Mar 14 2018 12:35:31 GMT-0500 (Central Daylight Time),Wed Mar 14 2018 12:35:31 GMT-0500 (Central Daylight Time),Detroit Game 2,pFe1cFCeHX,wl56jgemqS
yGCQ7vwmTr,2017,pOLSWqhTQJo,null,Sat May 09 2020 11:25:10 GMT-0500 (Central Daylight Time),Mon Feb 18 2019 21:54:36 GMT-0600 (Central Standard Time),Alamo V Warriors,hiXRckO3HR,0u9gVPYVvD
ySWZqSnYUe,2015,6TR2Rsy5zss,null,Wed Feb 24 2016 23:32:01 GMT-0600 (Central Standard Time),Wed Feb 24 2016 23:32:01 GMT-0600 (Central Standard Time),Founder's Mary Washington,72aC65hDVy,
yiL3ivoWe7,2015,zLqpAhbbxpY,null,Thu Dec 10 2015 16:17:20 GMT-0600 (Central Standard Time),Thu Dec 10 2015 16:17:20 GMT-0600 (Central Standard Time),Cleveland Game 2,wl56jgemqS,
yqQocQ6nvP,2015,dzQ1hk2UZkk,null,Thu Dec 10 2015 16:17:35 GMT-0600 (Central Standard Time),Thu Dec 10 2015 16:17:35 GMT-0600 (Central Standard Time),Cleveland Game 3,wl56jgemqS,
yqkVBCRl49,2015,k3S-LdFGq5Q,null,Tue Nov 10 2015 21:42:52 GMT-0600 (Central Standard Time),Tue Nov 10 2015 21:42:52 GMT-0600 (Central Standard Time),Turtle Cup V Semi,03h0GIgF90,
zWHGYAwzbC,2021,9F7I5Zh_nfM,null,Fri Sep 03 2021 17:13:49 GMT-0500 (Central Daylight Time),Fri Sep 03 2021 17:13:49 GMT-0500 (Central Daylight Time),AUS NYC 2021 G2,9pknZhSrVp,OpAp5q8omY
zi9lDCvfoJ,2016,dnoM5E8w5Oc,null,Fri Mar 09 2018 13:04:09 GMT-0600 (Central Standard Time),Fri Mar 09 2018 13:04:09 GMT-0600 (Central Standard Time),Guardians Game 2,pFe1cFCeHX,xs2G82eckS
